game_id,title,description,,en_title,en_description,de_title,de_description,es_title,es_description,,,,,br_title,br_description,fr_title,fr_description,sv_title,sv_description
Texas Holdem,Intro,"Texas Hold’em is always the first choice for poker – it’s so popular that the two words are almost synonymous!

According to the legend, Texas Hold’em poker was conceived in the early 1900s in the small community of Robstown, Texas, USA. However, the game only became known worldwide in its modern-day form after 1967 when the game first reached a Las Vegas casino. A few years later, Texas Hold’em became a standard feature in all international poker tournaments. Hold’em’s fame may have risen so quickly because of its rather simple system of rules. 

Okay, enough time wasting. Let’s begin!",,Intro,"Texas Hold’em is always the first choice for poker – it’s so popular that the two words are almost synonymous!

According to the legend, Texas Hold’em poker was conceived in the early 1900s in the small community of Robstown, Texas, USA. However, the game only became known worldwide in its modern-day form after 1967 when the game first reached a Las Vegas casino. A few years later, Texas Hold’em became a standard feature in all international poker tournaments. Hold’em’s fame may have risen so quickly because of its rather simple system of rules. 

Okay, enough time wasting. Let’s begin!",Einführung,"Texas Hold’em ist immer die erste Wahl beim Poker – es ist so beliebt, dass die beiden Begriffe beinahe synonym geworden sind!

Der Legende nach wurde Texas Hold’em in den frühen 1900er Jahren in der kleinen Gemeinde Robstown in Texas, USA, erfunden. Doch das Spiel wurde in seiner heutigen Form erst nach 1967 weltweit bekannt, nachdem es erstmals in einem Casino in Las Vegas aufgetaucht war. Nur ein paar Jahre später wurde Texas Hold’em zu einer Standardvariante bei allen internationalen Pokerturnieren. Die Bekanntheit von Hold’em mag daher so rasant gestiegen sein, da es auf einem recht einfachen System von Regeln basiert.

Okay, genug des Small-Talks. Lassen Sie uns anfangen!",Introducción,"El Texas Hold’em es siempre la primera opción al jugar al póker. Es tan popular que las dos palabras son casi sinónimos.

Según la leyenda, el Texas Hold’em se inventó en los primeros años del siglo XX en la pequeña comunidad de Robstown en Texas, USA. Sin embargo, el juego empezó a ser conocido después de 1967 cuando llegó a Las Vegas. Unos años más tarde, el Texas Hold’em se convirtió en el juego de todos los torneos de póker. La fama de Hod’em ha crecido tan rápido por sus simples reglas.

Bueno, ya hemos perdido mucho tiempo. ¡Vamos a comenzar!",,,,,Introdução,"O Texas Hold’em é sempre a primeira escolha para jogar pôquer; ele é tão popular que os dois termos são quase sinônimos!

Segundo a lenda, o pôquer do Texas Hold’em foi idealizado no início do século XX na pequena comunidade de Robstown, no estado do Texas, nos EUA. No entanto, o jogo só se tornou conhecido em todo o mundo em sua forma moderna depois de 1967, quando o jogo chegou pela primeira vez em um cassino de Las Vegas. Alguns anos mais tarde, o Texas Hold’em tornou-se um jogo habitual em todos os torneios internacionais de pôquer. Talvez a fama do Hold’em tenha aumentado tão rapidamente por causa do sistema de regras bastante simples.

Certo, chega de perder tempo. Vamos começar!",Intro,"Le Texas Hold’em est le jeu de poker le plus connu et le plus joué. Il est si populaire que son nom est presque devenu synonyme de poker!

Selon la légende, le poker Texas Hold’em a été inventé au début des années 1900, dans une petite communauté de Robstown, au Texas, aux États-Unis. Le jeu n’est toutefois devenu connu à travers le monde que dans sa forme moderne, en 1967, quand il fit sa première apparition dans un casino de Las Vegas. Quelques années plus tard, le Texas Hold’em est devenu la norme dans tous les tournois de poker internationaux. La simplicité des règles du Hold'em a probablement joué pour beaucoup dans l’augmentation fulgurante de sa popularité.

Assez perdu de temps maintenant. Commençons!",Introduktion,"Texas Hold’em är alltid förstahandsvalet i poker – det är så populärt att dessa två ord nästan är en synonym!

Enligt sägnen kom Texas Hold’em poker till i början av 1900-talet i det lilla samhället Robstown i Texas, USA. Spelet i sin moderna form blev dock inte världskänt förrän efter 1967, då det först spelades i ett Las Vegas-kasino. Några år senare blev Texas Hold’em ett stående inslag i alla internationella pokerturneringar. Hold’ems snabba berömmelse kan ha berott på det rätt enkla regelsystemet.

Okej, nog om det. Nu sätter vi igång!"
Texas Holdem,Quick Start,"Texas Hold’em is played by two to ten players using a deck of 52 cards with no jokers. Each player is dealt two face-down cards, also known as “hole cards”. Five community cards are dealt face up on the poker table across three rounds. The rounds are called “flop”, “turn” and “river”. The money pot (chips) is formed by players acting over the course of four betting rounds: pre-flop, flop, turn and river. ",,Quick Start,"Texas Hold’em is played by two to ten players using a deck of 52 cards with no jokers. Each player is dealt two face-down cards, also known as “hole cards”. Five community cards are dealt face up on the poker table across three rounds. The rounds are called “flop”, “turn” and “river”. The money pot (chips) is formed by players acting over the course of four betting rounds: pre-flop, flop, turn and river. ",Kurzeinführung,"Texas Hold’em ist eine Pokervariante für zwei bis zehn Spieler und wird mit einem Deck aus 52 Karten ohne Joker gespielt. Jeder Spieler erhält verdeckt zwei Karten, die auch „Taschenkarten“ genannt werden. Im Laufe von drei Spielrunden werden schrittweise fünf Gemeinschaftskarten auf dem Pokertisch aufgedeckt. Diese Runden werden „Flop“, „Turn“ und „River“ genannt. Der Geldtopf (Chips) wird durch die Aktionen der Spieler über vier Setzrunden gebildet: „Pre-Flop“, „Flop“, „Turn“ und „River“. ","De un vistazo","El Texas Hold’em lo juegan de dos a diez jugadores con una baraja de 52 cartas sin comodines. Cada jugador recibe dos cartas particulares. Cinco cartas comunitarias se ponen boca arriba en el centro de la mesa en tres rondas. Estas rondas son el flop, el turn y el river. El bote se forma con las apuestas de los jugadores durante cuatro rondas: pre-flop, flop, turn y river.",,,,,Guia de início rápido,"O Texas Hold’em é jogado por dois a dez jogadores usando um baralho de 52 cartas sem coringas. Cada jogador recebe duas cartas viradas para baixo, também conhecidas como ""cartas fechadas"". Cinco cartas da mesa são distribuídas viradas para cima na mesa de pôquer durante três rodadas. As rodadas são chamadas de ""flop"", ""turn"" e ""river"". O dinheiro no pote (fichas) é formado pelos jogadores que jogarem durante quatro rodadas de apostas: pré-flop, flop, turn e river. ",Démarrage rapide,"Le Texas Hold’em peut compter de deux à dix joueurs, et requiert un paquet de 52 cartes, sans les jokers. Chaque joueur reçoit deux cartes, face cachée, qu’on appelle aussi les « cartes fermées ». Au cours de trois tours, cinq cartes communes seront posées, face visible, au centre de la table. Les tours sont appelés « flop », « turn » et « river ». Le pot (jetons) se forme lorsque les joueurs procèdent aux 4 tours d’enchère : le pré-flop, le flop, le turn et la river. ",Snabbstart,"Texas Hold’em spelas av två till tio spelare med en kortlek med 52 kort utan jokrar. Varje spelare tilldelas två nedåtvända kort, de så kallade hålkorten. Sammanlagt fem gemensamma kort delas ut uppåtvända på bordet i tre omgångar. Omgångarna kallas ”floppen”, ”turnen” och ”rivern”. Penningpotten (marker) bildas upp av spelarnas agerande under fyra satsningsrundor: före floppen, floppen, turnen och rivern. "
Texas Holdem,Aim,"The aim of the game is to win the money/chips in the pot by forming a better five-card combination (known as the hand) than the rest of the players, or by convincing the other players to lay down their hand by bluffing. A hand is made up of any amount of a player’s two hole cards and three to five of the community cards dealt on the table.",,Aim,"The aim of the game is to win the money/chips in the pot by forming a better five-card combination (known as the hand) than the rest of the players, or by convincing the other players to lay down their hand by bluffing. A hand is made up of any amount of a player’s two hole cards and three to five of the community cards dealt on the table.",Spielziel,"Ziel des Spiels ist es, das Geld bzw. die Chips im Pot zu gewinnen, indem man eine bessere Kombination aus fünf Karten (auch als Hand bezeichnet) als die anderen Spieler erreicht oder durch Bluffen die anderen Spieler zum Aussteigen bewegt. Eine Hand besteht aus einer beliebigen Anzahl der beiden Taschenkarten eines Spielers und drei bis fünf der auf dem Tisch ausliegenden Gemeinschaftskarten.",Objetivo,"El objetivo del juego es ganar las fichas del bote formando mejor jugada (o mano) de cinco cartas que el resto de jugadores; o convenciendo a los rivales de que se tiren de sus cartas con un farol. La mano se forma con ninguna, una o las dos cartas particulares del jugador y de tres a cinco cartas de las comunitarias.",,,,,Objetivo,O objetivo do jogo é ganhar o dinheiro/as fichas no pote formando uma combinação de cinco cartas (conhecida como mão) melhor que a dos outros jogadores ou convencendo os outros jogadores a desistirem da sua mão blefando. Uma mão é composta por qualquer combinação de cinco cartas dentre as duas cartas fechadas de um jogador e três a cinco cartas da mesa.,But,"Le but du jeu est de gagner le pot (argent/jetons) en formant une meilleure combinaison de cinq cartes (ce qu’on appelle une main) que les autres joueurs, ou bien en convainquant les autres joueurs d’abandonner (en bluffant). Une main est composée de n’importe lesquelles des cartes fermées du joueur, et de trois à cinq cartes communes, pour un total de cinq cartes.",Målet,"Målet med spelet är att vinna pengarna (markerna) i potten genom att få ihop en bättre femkortskombination (en så kallad hand) än övriga spelare, eller genom att bluffa för att förmå de andra spelarna att lägga sig. En hand består av mellan noll och två av spelarens två hålkort och tre till fem av de gemensamma korten på bordet."
Texas Holdem,The Hand,"The hand is a player's best five-card combination. Players can use both, one or none of their two hole cards to form the best hand. If a player does not use any of their hole cards, they are said to be ‘playing the board’. All five community cards on the table would make up the best possible hand combination for that player.",,The Hand,"The hand is a player's best five-card combination. Players can use both, one or none of their two hole cards to form the best hand. If a player does not use any of their hole cards, they are said to be ‘playing the board’. All five community cards on the table would make up the best possible hand combination for that player.",Die Hand,"Als „Hand“ wird die beste Kombination aus fünf Karten eines Spielers bezeichnet. Spieler können beide, eine oder keine der beiden Taschenkarten verwenden um die bestmögliche Hand zu formen. Wenn ein Spieler keine seiner Taschenkarten verwendet, dann nennt man dies 'Playing the Board'. Das Verwenden aller fünf Gemeinschaftskarten auf dem Tisch wäre in diesem Fall die bestmögliche Handkombination für diesen Spieler.",La mano,"La mano es la mejor combinación de cinco cartas. Los jugadores pueden usar ambas, una o ninguna de sus dos cartas para formar la mejor mano. Si el jugador no usa ninguna de sus cartas particulares, se dice que el jugador está jugando la mesa. Las cinco cartas comunitarias formarían la mejor combinación para el jugador.",,,,,A mão,"A mão é a melhor combinação de cinco cartas do jogador. Os jogadores podem usar as duas, uma ou nenhuma de suas duas cartas fechadas para formar a melhor mão. Se um jogador não usa nenhuma de suas cartas fechadas, é considerado como ""jogando com a mesa"". Todas as cinco cartas da mesa compõem a melhor mão possível para esse jogador.",La main,"La main est la meilleure combinaison de cinq cartes d’un joueur. Les joueurs peuvent utiliser une de leurs deux cartes fermées, les deux, ou aucune des deux, pour former leur meilleure main. Si le joueur n’utilise aucune de ses cartes fermées, on dit qu’il « joue le tableau ». Les cinq cartes communes de la table forment ainsi la meilleure main pour ce joueur.",Handen,"Handen är spelarens bästa femkortskombination. Spelaren kan använda båda, ett eller inget av sina hålkort till att bilda den bästa handen. Om spelaren inte använder något av sina hålkort heter det att denna ”spelar bordet”. Alla fem gemensamma kort på bordet bildar då den bästa möjliga handkombinationen för den spelaren."
Omaha HI,Intro,"Omaha Hi, also known as Pot Limit Omaha (PLO), is a variation of poker with a pot limit betting structure. Players can bet any amount up to the current amount in the pot. PLO is a great game for beginners to learn all about forming different types of poker hands. 

You might be surprised to learn that this poker variant was not created in the city of Omaha, Nebraska, USA. In fact, the city really has nothing to do with the game, except for sharing the same name. The first record of Omaha Hi being played in Las Vegas dates back to 1982. Before that, a variation of the game was played with five individual cards dealt to each player. However, this format limited the number of players who could participate, as there are only 52 cards in a deck. So, the game evolved into all players being dealt four starting cards, of which only two cards can be used to make a hand – along with a five-card community board.",,Intro,"Omaha Hi, also known as Pot Limit Omaha (PLO), is a variation of poker with a pot limit betting structure. Players can bet any amount up to the current amount in the pot. PLO is a great game for beginners to learn all about forming different types of poker hands. 

You might be surprised to learn that this poker variant was not created in the city of Omaha, Nebraska, USA. In fact, the city really has nothing to do with the game, except for sharing the same name. The first record of Omaha Hi being played in Las Vegas dates back to 1982. Before that, a variation of the game was played with five individual cards dealt to each player. However, this format limited the number of players who could participate, as there are only 52 cards in a deck. So, the game evolved into all players being dealt four starting cards, of which only two cards can be used to make a hand – along with a five-card community board.",Einführung,"Omaha Hi, auch als Pot Limit Omaha (PLO) bekannt, ist eine Pokervariante mit einer Pot Limit-Einsatzstruktur. Die Spieler können jeden Betrag bis zum aktuellen Betrag setzen, der sich im Pot befindet. PLO ist ein Spiel, das sich hervorragend für Anfänger eignet, um alles über des Bilden der verschiedenen Arten von Pokerhänden zu erfahren.

Sie werden vielleicht überrascht sein, zu erfahren, dass diese Pokervariante nicht in Omaha, Nebraska, USA entstanden ist. Die Stadt hat überhaupt nichts mit dem Spiel zu tun. Das Spiel und die Stadt teilen sich lediglich den Namen. In Las Vegas wurde Omaha Hi 1982 zum ersten Mal gespielt. Davor wurde eine Variante des Spiels mit fünf einzelnen Karten gespielt, die an jeden Spieler ausgeteilt wurden. Dieses Format begrenzte jedoch die Zahl der Spieler, die teilnehmen konnten, da es nur 52 Karten gibt. Schließlich wurden jedem Spieler vier Startkarten zugeteilt, von denen jeweils nur zwei Karten verwendet werden können, um eine Hand zu bilden – zusammen mit einem Board aus fünf Gemeinschaftskarten.
",Introducción,"Omaha Hi, también conocido como Pot Limit Omaha (PLO), es una modalidad de póker con estructura pot limit de apuestas. Los jugadores pueden apostar cualquier cantidad hasta el tamaño del bote. PLO es un gran juego para que los principiantes aprendan a formar distintos tipos de manos de póker. 

Puede sorprenderte que esta modalidad de póker no se creó en la ciudad de Omaha, Nebraska, USA. En realidad, la ciudad no tiene nada que ver con el juego, solo comparten el nombre. Los primeras noticias de jugar al Omaha Hi vienen de Las Vegas en el año 1982. Antes, existía una variación del juego con cinco cartas particulares, pero limitaba el número de jugadores de la mesa, como sabes hay 52 cartas en la baraja. Así que el juego evolucionó para que cada jugador recibiera cuatro cartas particulares, de las que hay que usar dos para formar tu jugada, combinadas con tres de las cinco comunitarias.",,,,,Introdução,"Omaha Hi, também conhecido como Pot Limit Omaha (PLO), é uma variação de pôquer com uma estrutura de apostas com limite de pote. Os jogadores podem apostar quanto quiserem até o montante atual no pote. PLO é um ótimo jogo para os iniciantes aprenderem tudo sobre formar diferentes tipos de mãos do pôquer.

Você pode se surpreender ao saber que esta variação de pôquer não foi criada na cidade de Omaha, em Nebraska, EUA. Na verdade, a cidade não tem nada a ver com o jogo, exceto por compartilhar o mesmo nome. O primeiro registro de Omaha Hi sendo jogado em Las Vegas remonta a 1982. Antes disso, uma variação do jogo foi jogada com cinco cartas individuais para cada jogador. No entanto, este formato limitava o número de jogadores que podiam participar, uma vez que existem apenas 52 cartas num baralho. Então, o jogo evoluiu para um formato no qual todos os jogadores recebiam quatro cartas iniciais, das quais apenas duas cartas podiam ser usadas para formar uma mão – junto com cinco cartas da mesa.",Intro,"Omaha Hi, aussi appelé Pot Limit Omaha (PLO), est une variante du jeu de poker comportant une structure de mises pot limit. Les joueurs peuvent miser n'importe quel montant jusqu'à concurrence du montant du pot. PLO est un excellent jeu pour les débutants qui désirent apprendre les façons de former différents types de mains de poker.

Vous serez peut-être surpris d'apprendre que cette variante du poker n'a pas été créée dans la ville d'Omaha, au Nebraska (É-U). En fait, la ville n'a rien à voir avec le jeu si ce n'est qu'ils partagent le même nom. Le premier signalement d'une partie Omaha Hi remonte à 1982 à Las Vegas. Avant cette époque, une variante du jeu se jouait alors que chaque joueur recevait cinq cartes. Toutefois, ce format limitait le nombre de joueurs participants compte tenu qu'un paquet de cartes n'en compte que 52. Le jeu a évolué pour permettre à tous les joueurs de recevoir quatre cartes de départ, parmi lesquelles seulement deux peuvent être utilisées pour obtenir une main, ainsi qu'un tableau communautaire composé de cinq cartes.",Introduktion,"Omaha Hi, som även kallas Pot Limit Omaha (PLO), är en pokervariant med en satsningsstruktur av typen pot limit. Spelarna kan satsa valfritt belopp upp till det aktuella beloppet i potten. PLO är ett lämpligt spel för nybörjare som vill lära sig allt om hur man får ihop olika pokerhänder.

Något förvånande är kanske att den här pokervarianten inte kommer från staden Omaha i Nebraska, USA. Staden har faktiskt ingenting med spelet att göra, förutom det gemensamma namnet. Den äldsta uppgiften om att Omaha Hi spelades i Las Vegas kommer från 1982. Dessförinnan spelades en variant av spelet med fem enskilda kort till varje spelare. Det formatet begränsade dock antalet deltagande spelare eftersom leken bara innehåller 52 kort. Spelet har därför utvecklats såtillvida att alla spelare får fyra startkort av vilka endast två kort får användas till att skapa en hand – tillsammans med tre av bordets fem gemensamma kort."
Omaha HI,Quick Start,"Omaha Hi is played by two to ten people using a deck of 52 cards with no jokers. Each player is dealt four face-down cards at the beginning of the game, also known as ‘hole cards’. Five community cards are dealt face up in three rounds at the poker table. The rounds are called “flop”, “turn” and “river”. The money in the pot (chips) is built by the players over four betting rounds: pre-flop, flop, turn and river.",,Quick Start,"Omaha Hi is played by two to ten people using a deck of 52 cards with no jokers. Each player is dealt four face-down cards at the beginning of the game, also known as ‘hole cards’. Five community cards are dealt face up in three rounds at the poker table. The rounds are called “flop”, “turn” and “river”. The money in the pot (chips) is built by the players over four betting rounds: pre-flop, flop, turn and river.",Kurzeinführung,"Omaha Hi wird von zwei bis zehn Personen mit 52 Karten ohne Joker gespielt. Jeder Spieler erhält zu Beginn des Spiels verdeckt vier Karten, die auch als „Taschenkarten“ bezeichnet werden. Fünf Gemeinschaftskarten werden über drei Runden offen am Pokertisch ausgegeben. Diese Runden werden „Flop“, „Turn“ und „River“ genannt. Des Geld im Pot (die Chips) wird von den Spielern über vier Einsatzrunden angesammelt: „Pre-Flop“, „Flop“, „Turn“ und „River“.","Guía rápida","Pueden jugar Omaha Hi desde dos hasta diez jugadores con una baraja de 52 cartas sin comodines. Cada jugador recibe cuatro cartas boca abajo al principio del juego, sus cartas particulares. Durante tres rondas se sacan cinco cartas descubiertas en el centro de la mesa. Las rondas se llaman flop, turn y river. El bote va creciendo con las apuestas de los jugadores en las cuatro rondas de apuestas: pre-flop, flop, turn y river.",,,,,Guia de início rápido,"Omaha Hi é jogado por duas a dez pessoas usando um baralho de 52 cartas sem coringas. Cada jogador recebe quatro cartas viradas para baixo no início do jogo, também conhecidas como ""cartas fechadas"". Cinco cartas da mesa são distribuídas viradas para cima durante três rodadas na mesa de pôquer. As rodadas são chamadas de ""flop"", ""turn"" e ""river"". O dinheiro no pote (fichas) é somado pelos jogadores durante quatro rodadas de apostas: pré-flop, flop, turn e river.",Démarrage rapide,"Omaha Hi se joue de deux à dix joueurs à l'aide d'un jeu de 52 cartes sans jokers. Chaque joueur reçoit quatre cartes face invisible au début du jeu, également appelées « cartes fermées ». Cinq cartes communautaires sont posées face visible sur trois tours. Les tours sont appelés « flop », « turn » et « river ». L'argent dans le pot (jetons) est constitué par les joueurs sur quatre tours d'enchère : le pré-flop, le flop, le turn et la river.",Snabbstart,"Omaha Hi spelas av två till tio spelare med en kortlek med 52 kort utan jokrar. När spelet börjar får varje spelare fyra nedåtvända kort, de så kallade hålkorten. Sammanlagt fem gemensamma kort delas ut uppåtvända på bordet i tre omgångar. Omgångarna kallas ”floppen”, ”turnen” och ”rivern”. Pengarna i potten (marker) byggs upp av spelarna under fyra satsningsrundor: före floppen, floppen, turnen och rivern."
